"","data$description"
"1266","Bei einem Zoobesuch in Erlangen wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1267","Bei einem Besuch einer Ausstellung in Darmstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1268","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"1269","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"1270","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"1271","Bei einem Besuch im Museum in Trier wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1272","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1273","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1274","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"1275","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"1276","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"1277","Bei der Bewerbung um ein Austauschprogramm in Karlsruhe wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"1278","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"1279","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"1280","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1281","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"1282","Bei einem Familientreffen in Rostock wurde ich Opfer von Diskriminierung, als einige Familienmitglieder mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, an den Gesprächen teilzunehmen, wurde ich ignoriert und marginalisiert."
"1283","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1284","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1285","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1286","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1287","Bei einem Friseurbesuch in Wiesbaden wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meines muslimischen Glaubens zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"1288","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1289","Beim Besuch einer Bibliothek in Heidelberg wurde ich diskriminiert, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"1290","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"1291","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1292","Bei einem Besuch in einem Café in Siegen wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"1293","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1294","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1295","Bei der Bewerbung um einen Studienplatz in Saarbrücken wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1296","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"1297","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1298","Bei der Bewerbung um eine Stelle in Bochum wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1299","Bei einem Abendessen im Restaurant in Würzburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1300","Bei der Bewerbung um eine freiwillige Stelle in Kassel wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meines Engagements und meiner Motivation wurde ich aus dem Freiwilligenteam ausgeschlossen."
"1301","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1302","Bei der Teilnahme an einer kulturellen Veranstaltung in Stuttgart wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"1303","Bei einem Einkaufsbummel in Regensburg wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1304","Bei der Bewerbung um eine Stelle in Dresde wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1305","Beim Einkaufen in Aachen wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1306","Bei einem Abendessen im Restaurant in Frankfurt wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1307","Bei einem Besuch einer Ausstellung in Darmstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1308","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"1309","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"1310","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1311","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1312","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"1313","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1314","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1315","Bei einem Besuch in einem Café in Duisburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"1316","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"1317","Bei einem Stadtteilmeeting in Leipzig wurde ich mit Diskriminierung konfrontiert, als einige Bewohner beleidigende Bemerkungen über meine Religion machten. Trotz meiner Bemühungen, an der Diskussion teilzunehmen, wurde ich ausgeschlossen und ignoriert."
"1318","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1319","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"1320","Bei einem Familientreffen in Rostock wurde ich Opfer von Diskriminierung, als einige Familienmitglieder mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, an den Gesprächen teilzunehmen, wurde ich ignoriert und marginalisiert."
"1321","Bei der Bewerbung um eine Stelle in Dresde wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1322","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1323","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1324","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
